,WGS84경도,WGS84위도,관할관청,모바일정류장ID,시군명,위치,이비카드정류장ID,정류소명,정류소번호,정류소영문명,중앙차로여부,표준정류장ID
681,126.7389,37.21346670000001,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 송산면,4102871.0,송산농협.사강정형외과,37089.0,"Songsan Nonghyup, Sagang Orthopedics Clinic",노변정류장,233000858
682,126.7369167,37.2131833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 송산면,4102869.0,사강시장,37085.0,Sagang Market,노변정류장,233000859
683,126.7135,37.18991670000001,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4102861.0,신흥사,37061.0,Sinheungsa,노변정류장,233000861
684,126.70815,37.1795833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4102855.0,상안2리.SK주유소,37054.0,"Sangan 2-ri, SK Gas Station",노변정류장,233000862
685,126.6807,37.17425,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4102846.0,장외리,37020.0,Jang-oe-ri,노변정류장,233000865
686,126.67508329999998,37.1661167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4102843.0,큰말입구,37015.0,Keunmal ,노변정류장,233000867
687,126.6689,37.1636,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4102840.0,송교1리,37012.0,Songgyo 1-ri,노변정류장,233000868
688,126.66433329999998,37.1648,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4102837.0,개경촌,37007.0,Gaegyeongchon ,노변정류장,233000871
689,126.6585333,37.1721167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4102835.0,제부도입구,37001.0,Jebudo Island,노변정류장,233000872
690,126.87225,37.25005,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 비봉면,4102914.0,구포리,37175.0,Gupo-ri ,노변정류장,233000873
691,126.7553833,37.2116833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 송산면,4102873.0,돼지고개.삼존리물미,37097.0,"Dwaeji-Gogae, Samjon-ri Mulmi",노변정류장,233000877
692,126.74531670000002,37.2122833,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 송산면,4107792.0,봉가1리,37095.0,Bongga 1-ri,노변정류장,233000878
693,126.7167333,37.19300000000001,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4170293.0,상안리.한국발효,36767.0,"Sangan-ri, Korean Fermentation",노변정류장,233000879
694,126.7009333,37.1474167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4170294.0,용두2리,36766.0,Yongdu 2-ri,노변정류장,233000881
